video_id,description,annotation,user_certify,user_description,publish_time,event,transcript,tokens,token_count,similarity_to_rest,avg_rarity
7283896680204881159,#ufo #ufos #alien #alienbff #ufosky #ufosighting #ufotiktok #ufoalien #supernatural #supernaturaledit #trend #trend2023 #trend2023tiktok #xuhuong2023 #xuhuong #alienigenas #super #aliens #angel #roswell #american #japan #spain #moscow #england #italy #korea #canada #australia #thai #russia #mexico #switzerland #england #vietnam #brazil #england  #brazil  #malaysia #singapore #china #columbia #philippines #dailoan🇻🇳🇹🇼 #germany #france #iran #thailand🇹🇭 #argentina #sweden #malaysia #laos #spain #singapore #norway #uk #ukraine,fake,0.0,https://www.blogger.com,2023-09-28 15:19:16,"Thailand's alien-like creature,Chay Na, near cave","This video shows a thunderstorm being recorded, wherein a lightning strike occurs and a figure that seems to be a UFO is spotted in the light","['video', 'shows', 'thunderstorm', 'recorded', 'wherein', 'lightning', 'strike', 'occurs', 'figure', 'seems', 'ufo', 'spotted', 'light']",136,0.015639766806088147,80881.58823529411
7044826908458274094,@monicajoelleo #Philippines #typhoonrai,real,0.0,,2021-12-23 09:26:29,DragonAir 737 was spun around in strong winds from a typhoon,"The video shows a woman talking and saying “if this is on your for you page it’s likely because you have a really good and caring heart. The Philippines is in need of our help Typhoon Rai or Odette hit the country on December 16th and has caused nearly 737 million dollars in damages the death toll is rapidly climbing every day with countless more left injured or missing hundreds of thousands of people have already evacuated their homes and will be needing immediate assistance, especially since we’re still in a global pandemic and it’s during the holidays. On ways to donate, a link will be in my bio. Thank you for listening and watching the entire video. Happy holidays and Mabuhay”
","['video', 'shows', 'woman', 'talking', 'saying', 'page', 'likely', 'really', 'good', 'caring', 'heart', 'philippines', 'need', 'help', 'typhoon', 'rai', 'odette', 'hit', 'country', 'december', '16th', 'caused', 'nearly', '737', 'million', 'dollars', 'damages', 'death', 'toll', 'rapidly', 'climbing', 'every', 'day', 'countless', 'left', 'injured', 'missing', 'hundreds', 'thousands', 'people', 'already', 'evacuated', 'homes', 'needing', 'immediate', 'assistance', 'especially', 'since', 'still', 'global', 'pandemic', 'holidays', 'ways', 'donate', 'link', 'bio', 'thank', 'listening', 'watching', 'entire', 'video', 'happy', 'holidays', 'mabuhay']",649,0.02020754829858085,83087.42681047766
6988311661840960773,#XfinityFanthem #leftist #MLK,fake,0.0,Far left or far right I’m far from happiness 🤠,2021-07-24 02:18:26,Martin Luther King Was a Republican,"Luther King Jr. during his lifetime was a Republican. Then does that mean the Republicans were socialist? Because MLK sure was. Here, MLK is advocating for wealth redistribution and democracy, which are socialist values.
","['luther', 'king', 'jr', 'lifetime', 'republican', 'mean', 'republicans', 'socialist', 'mlk', 'sure', 'mlk', 'advocating', 'wealth', 'redistribution', 'democracy', 'socialist', 'values']",186,0.003865785855894278,78589.70430107527
7317312218205343008,"storm gerrit , wind turbine falls appart after brakes failing in east Ayrshire  #stormgerrit #windturbine #windturbinefail #wind #storm #eastayrshire #gravityfalls #windturbine ",real,0.0,"main account now 🏴󠁧󠁢󠁳󠁣󠁴󠁿
lost my main at 25k followers 4.4mil likes 💔",2023-12-27 16:28:50,A wind turbine being destroyed during a major storm,Storm Gerrit. Wind turbine breaks fail and it falls apart. East Air Shire today.,"['storm', 'gerrit', 'wind', 'turbine', 'breaks', 'fail', 'falls', 'apart', 'east', 'air', 'shire', 'today']",107,0.006602261162495973,88822.91588785047
7270134777225907502,What is this 💀,fake,0.0,excuse me i love you,2023-08-22 13:16:12,Coachella Ferris Wheel 'dance',"The video shows the Ferris Wheel concept at Coachella 2024 with a true budget which is insane.
","['video', 'shows', 'ferris', 'wheel', 'concept', 'coachella', '2024', 'true', 'budget', 'insane']",97,0.012605273335858005,83032.35051546391
7106549943409593642,Sonic embodies transmasc energy. #transgender #sonicthehedgehog,fake,0.0,🐺 wolf girl,2022-06-07 17:23:18,the Animated Character of Sonic the Hedgehog Be Transgender in a New Film,"
okay sonic the hedgehog is a trans icon
and he embodies trans masculine energy tails and bodies trans feminine energy
and you can't change my mind
and if you're a transphobe i just ruined sonic for you","['okay', 'sonic', 'hedgehog', 'trans', 'icon', 'embodies', 'trans', 'masculine', 'energy', 'tails', 'bodies', 'trans', 'feminine', 'energy', 'cant', 'change', 'mind', 'youre', 'transphobe', 'ruined', 'sonic']",208,0.004503394112561436,85111.79326923077
7129746052890053930,Sometimes it gets stressful at work as shown here by #nancy #pelosi #drinking  #drunk,fake,0.0,"My pronouns are Patriot, Veteran and Conservative.",2022-08-09 05:36:06,Pelosi drunk video,"I'm sorry. To do what? I'm sorry. I don't understand what you do. Jo Bet, Joe Scarborough. You'asking me about the appropriateness of the actions of this president of the United States. Like a child that comes in with mud on their pants or something. He comes in with doggy do on his shoes. What if there's a word somebody used me?","['im', 'sorry', 'im', 'sorry', 'dont', 'understand', 'jo', 'bet', 'joe', 'scarborough', 'youasking', 'appropriateness', 'actions', 'president', 'united', 'states', 'like', 'child', 'comes', 'mud', 'pants', 'something', 'comes', 'doggy', 'shoes', 'theres', 'word', 'somebody', 'used']",283,0.0181000455794821,84863.55830388692
7274052421121264939,#duet with @Joe Pags #Trending 😂😂😂 She’s still drunk! #fyp #america #nancypelosi,fake,0.0,"🇺🇸 conservative 🇺🇸
Acct # gazillion
Still here mf 🖕
FJB",2023-09-02 02:38:36,Pelosi drunk video," Have you seen Nancy Pelosi lately? I'll admit it, I haven't seen her in a while, but whoa, she's been working out? So we don't have shared values, but we have a shared planet, and we have to work with the Chinese to save the planet because they're now, I think, the biggest emitter. If not us, they're second. Looks like she could start for the 49ers, am I right?
","['seen', 'nancy', 'pelosi', 'lately', 'ill', 'admit', 'havent', 'seen', 'whoa', 'shes', 'working', 'dont', 'shared', 'values', 'shared', 'planet', 'work', 'chinese', 'save', 'planet', 'theyre', 'think', 'biggest', 'emitter', 'us', 'theyre', 'second', 'looks', 'like', 'could', 'start', '49ers', 'right']",303,0.013807612941381948,88842.26732673268
7277885861046340907,@Tillamook partner? 👀 #realicecream #fakeicecream #fakefoodvsrealfood #tillamook #turkeyhill #breyers #benandjerrys #frozendessert #fakeorrealfood,real,0.0,"prettyassking@gmail.com
Snap + ig @prettyassking 👑
King of TikTok Reviews ✨",2023-09-12 10:34:54,These ‘16 Easy Tests' to Check Whether Food Is 'Fake or Real',"I hope y'all know the difference between real ice cream and the fake one.  Look what it says. vanilla ice cream,  silky smooth French custard ice cream. All this ice cream is real custard. I  don't know if you guys know that it's fire.  Compared to all this mainstream stuff,  Breyers, look what it says.  Frozen dairy dessert.  Like that's not real ice cream.  Turkey Hill.
Frozen dairy dessert. That's not ice cream either.  Even your Ben and Jerry's look at  Mint not dairy frozen dessert  like it's not fucking ice cream

","['hope', 'yall', 'know', 'difference', 'real', 'ice', 'cream', 'fake', 'one', 'look', 'says', 'vanilla', 'ice', 'cream', 'silky', 'smooth', 'french', 'custard', 'ice', 'cream', 'ice', 'cream', 'real', 'custard', 'dont', 'know', 'guys', 'know', 'fire', 'compared', 'mainstream', 'stuff', 'breyers', 'look', 'says', 'frozen', 'dairy', 'dessert', 'like', 'thats', 'real', 'ice', 'cream', 'turkey', 'hill', 'frozen', 'dairy', 'dessert', 'thats', 'ice', 'cream', 'either', 'even', 'ben', 'jerrys', 'look', 'mint', 'dairy', 'frozen', 'dessert', 'like', 'fucking', 'ice', 'cream']",573,0.011697744582293652,89833.78184991275
6879263553962937601,Is it real? #harrypotter #cirsedchild #hp #viral #foryoupage,fake,0.0,"Tonks is my favourite💛 
Potterhead⚡️
Hungarian🇭🇺",2020-10-03 05:36:03,a new Harry Potter movie that is set for release in 2020,"This video shows previews and what to expect from Harry Potter and the cursed child movie expected to be released in October 2020
","['video', 'shows', 'previews', 'expect', 'harry', 'potter', 'cursed', 'child', 'movie', 'expected', 'released', 'october', '2020']",130,0.016663890386551392,82379.3
